pair_id,group,pitch,interval,rhythm,mode_infer,mode_ground,measures_infer,measures_ground,path_infer,path_ground
easy_hard_easy_F_00254,easy_hard_easy_F,easy,hard,easy,F,F,8,9,inference_wav/easy_hard_easy_F_8_20250829-005801_2.43_7442.wav,ground_wav/easy_hard_easy_F_9_20250902-112751_0.00_839.wav
easy_hard_easy_F_00258,easy_hard_easy_F,easy,hard,easy,F,F,16,16,inference_wav/easy_hard_easy_F_16_20250829-010019_4.04_7601.wav,ground_wav/easy_hard_easy_F_16_20250902-112800_0.00_2036.wav
easy_hard_easy_F_00262,easy_hard_easy_F,easy,hard,easy,F,F,20,16,inference_wav/easy_hard_easy_F_20_20250829-011804_5.08_8857.wav,ground_wav/easy_hard_easy_F_16_20250902-112759_0.00_1898.wav
easy_hard_easy_G_00273,easy_hard_easy_G,easy,hard,easy,G,G,12,10,inference_wav/easy_hard_easy_G_12_20250829-003755_3.39_6048.wav,ground_wav/easy_hard_easy_G_10_20250902-112749_0.00_600.wav
easy_hard_hard_Amin_00276,easy_hard_hard_Amin,easy,hard,hard,Amin,Amin,28,32,inference_wav/easy_hard_hard_Amin_28_20250829-010625_7.03_8034.wav,ground_wav/easy_hard_hard_Amin_32_20250902-112805_0.00_2713.wav
easy_hard_hard_Amin_00281,easy_hard_hard_Amin,easy,hard,hard,Amin,Amin,12,9,inference_wav/easy_hard_hard_Amin_12_20250829-003811_3.27_6068.wav,ground_wav/easy_hard_hard_Amin_9_20250902-112752_0.00_937.wav
easy_hard_hard_Emin_00293,easy_hard_hard_Emin,easy,hard,hard,Emin,Emin,20,16,inference_wav/easy_hard_hard_Emin_20_20250829-004410_5.26_6492.wav,ground_wav/easy_hard_hard_Emin_16_20250902-112749_0.00_620.wav
easy_hard_hard_F_00296,easy_hard_hard_F,easy,hard,hard,F,F,8,8,inference_wav/easy_hard_hard_F_8_20250829-013514_2.51_10058.wav,ground_wav/easy_hard_hard_F_8_20250902-112756_0.00_1555.wav
easy_hard_hard_F_00297,easy_hard_hard_F,easy,hard,hard,F,F,12,16,inference_wav/easy_hard_hard_F_12_20250829-010745_3.43_8131.wav,ground_wav/easy_hard_hard_F_16_20250902-112747_0.00_266.wav
easy_hard_hard_G_00307,easy_hard_hard_G,easy,hard,hard,G,G,12,8,inference_wav/easy_hard_hard_G_12_20250829-003808_3.33_6065.wav,ground_wav/easy_hard_hard_G_8_20250902-112745_0.00_27.wav
easy_hard_medium_C_00318,easy_hard_medium_C,easy,hard,medium,C,C,12,8,inference_wav/easy_hard_medium_C_12_20250829-011752_3.50_8843.wav,ground_wav/easy_hard_medium_C_8_20250902-112752_0.00_980.wav
easy_hard_medium_F_00329,easy_hard_medium_F,easy,hard,medium,F,F,8,8,inference_wav/easy_hard_medium_F_8_20250829-005615_2.77_7320.wav,ground_wav/easy_hard_medium_F_8_20250902-112757_0.00_1698.wav
easy_hard_medium_F_00331,easy_hard_medium_F,easy,hard,medium,F,F,20,18,inference_wav/easy_hard_medium_F_20_20250829-020224_3.62_11940.wav,ground_wav/easy_hard_medium_F_18_20250902-112802_0.00_2285.wav
easy_hard_medium_F_00332,easy_hard_medium_F,easy,hard,medium,F,F,8,8,inference_wav/easy_hard_medium_F_8_20250829-005835_2.58_7486.wav,ground_wav/easy_hard_medium_F_8_20250902-112800_0.00_2087.wav
easy_hard_medium_F_00333,easy_hard_medium_F,easy,hard,medium,F,F,12,13,inference_wav/easy_hard_medium_F_12_20250829-010105_3.24_7652.wav,ground_wav/easy_hard_medium_F_13_20250902-112747_0.00_292.wav
easy_hard_medium_F_00335,easy_hard_medium_F,easy,hard,medium,F,F,12,9,inference_wav/easy_hard_medium_F_12_20250829-004804_3.35_6764.wav,ground_wav/easy_hard_medium_F_9_20250902-112751_0.00_882.wav
easy_hard_medium_F_00336,easy_hard_medium_F,easy,hard,medium,F,F,12,9,inference_wav/easy_hard_medium_F_12_20250829-013558_3.06_10112.wav,ground_wav/easy_hard_medium_F_9_20250902-112802_0.00_2368.wav
easy_hard_medium_F_00338,easy_hard_medium_F,easy,hard,medium,F,F,12,16,inference_wav/easy_hard_medium_F_12_20250829-020212_2.31_11929.wav,ground_wav/easy_hard_medium_F_16_20250902-112759_0.00_1985.wav
easy_hard_medium_G_00340,easy_hard_medium_G,easy,hard,medium,G,G,12,12,inference_wav/easy_hard_medium_G_12_20250829-012658_3.24_9481.wav,ground_wav/easy_hard_medium_G_12_20250902-112755_0.00_1393.wav
easy_hard_medium_G_00344,easy_hard_medium_G,easy,hard,medium,G,G,20,22,inference_wav/easy_hard_medium_G_20_20250829-013116_5.36_9780.wav,ground_wav/easy_hard_medium_G_22_20250902-112745_0.00_29.wav
easy_hard_medium_G_00348,easy_hard_medium_G,easy,hard,medium,G,G,20,16,inference_wav/easy_hard_medium_G_20_20250829-004052_4.97_6257.wav,ground_wav/easy_hard_medium_G_16_20250902-112752_0.00_1053.wav
easy_hard_medium_G_00350,easy_hard_medium_G,easy,hard,medium,G,G,16,16,inference_wav/easy_hard_medium_G_16_20250829-014649_4.40_10862.wav,ground_wav/easy_hard_medium_G_16_20250902-112753_0.00_1061.wav
easy_hard_medium_G_00351,easy_hard_medium_G,easy,hard,medium,G,G,20,16,inference_wav/easy_hard_medium_G_20_20250829-011702_5.41_8784.wav,ground_wav/easy_hard_medium_G_16_20250902-112756_0.00_1510.wav
easy_medium_easy_C_00359,easy_medium_easy_C,easy,medium,easy,C,C,28,28,inference_wav/easy_medium_easy_C_28_20250828-234457_6.97_2475.wav,ground_wav/easy_medium_easy_C_28_20250902-112802_0.00_2350.wav
easy_medium_easy_C_00370,easy_medium_easy_C,easy,medium,easy,C,C,32,32,inference_wav/easy_medium_easy_C_32_20250828-234823_7.75_2720.wav,ground_wav/easy_medium_easy_C_32_20250902-112749_0.00_621.wav
easy_medium_easy_Dmin_00381,easy_medium_easy_Dmin,easy,medium,easy,Dmin,Dmin,8,8,inference_wav/easy_medium_easy_Dmin_8_20250828-231453_2.77_290.wav,ground_wav/easy_medium_easy_Dmin_8_20250902-112750_0.00_647.wav
easy_medium_easy_Emin_00387,easy_medium_easy_Emin,easy,medium,easy,Emin,Emin,12,14,inference_wav/easy_medium_easy_Emin_12_20250828-233338_3.60_1639.wav,ground_wav/easy_medium_easy_Emin_14_20250902-112749_0.00_502.wav
easy_medium_easy_Emin_00390,easy_medium_easy_Emin,easy,medium,easy,Emin,Emin,32,36,inference_wav/easy_medium_easy_Emin_32_20250828-232105_7.84_727.wav,ground_wav/easy_medium_easy_Emin_36_20250902-112802_0.00_2359.wav
easy_medium_easy_F_00399,easy_medium_easy_F,easy,medium,easy,F,F,20,20,inference_wav/easy_medium_easy_F_20_20250829-000016_5.10_3586.wav,ground_wav/easy_medium_easy_F_20_20250902-112806_0.00_2816.wav
easy_medium_easy_F_00401,easy_medium_easy_F,easy,medium,easy,F,F,20,18,inference_wav/easy_medium_easy_F_20_20250828-235738_5.01_3396.wav,ground_wav/easy_medium_easy_F_18_20250902-112804_0.00_2527.wav
easy_medium_easy_F_00412,easy_medium_easy_F,easy,medium,easy,F,F,12,10,inference_wav/easy_medium_easy_F_12_20250828-233040_3.10_1417.wav,ground_wav/easy_medium_easy_F_10_20250902-112747_0.00_285.wav
easy_medium_easy_G_00419,easy_medium_easy_G,easy,medium,easy,G,G,24,24,inference_wav/easy_medium_easy_G_24_20250828-232313_5.97_878.wav,ground_wav/easy_medium_easy_G_24_20250902-112802_0.00_2378.wav
easy_medium_easy_G_00422,easy_medium_easy_G,easy,medium,easy,G,G,20,18,inference_wav/easy_medium_easy_G_20_20250828-234639_5.12_2601.wav,ground_wav/easy_medium_easy_G_18_20250902-112748_0.00_399.wav
easy_medium_hard_Dmin_00437,easy_medium_hard_Dmin,easy,medium,hard,Dmin,Dmin,12,16,inference_wav/easy_medium_hard_Dmin_12_20250828-234820_3.33_2715.wav,ground_wav/easy_medium_hard_Dmin_16_20250902-112750_0.00_672.wav
easy_medium_hard_Dmin_00438,easy_medium_hard_Dmin,easy,medium,hard,Dmin,Dmin,16,16,inference_wav/easy_medium_hard_Dmin_16_20250828-231334_4.13_192.wav,ground_wav/easy_medium_hard_Dmin_16_20250902-112751_0.00_805.wav
easy_medium_hard_Dmin_00439,easy_medium_hard_Dmin,easy,medium,hard,Dmin,Dmin,16,16,inference_wav/easy_medium_hard_Dmin_16_20250828-234743_4.51_2674.wav,ground_wav/easy_medium_hard_Dmin_16_20250902-112804_0.00_2536.wav
easy_medium_hard_G_00448,easy_medium_hard_G,easy,medium,hard,G,G,28,25,inference_wav/easy_medium_hard_G_28_20250829-000542_6.83_3968.wav,ground_wav/easy_medium_hard_G_25_20250902-112803_0.00_2435.wav
easy_medium_hard_G_00451,easy_medium_hard_G,easy,medium,hard,G,G,16,16,inference_wav/easy_medium_hard_G_16_20250829-001238_4.28_4460.wav,ground_wav/easy_medium_hard_G_16_20250902-112753_0.00_1121.wav
easy_medium_medium_Amin_00461,easy_medium_medium_Amin,easy,medium,medium,Amin,Amin,8,8,inference_wav/easy_medium_medium_Amin_8_20250829-000345_2.72_3828.wav,ground_wav/easy_medium_medium_Amin_8_20250902-112746_0.00_191.wav
easy_medium_medium_C_00464,easy_medium_medium_C,easy,medium,medium,C,C,16,16,inference_wav/easy_medium_medium_C_16_20250829-001217_4.00_4436.wav,ground_wav/easy_medium_medium_C_16_20250902-112751_0.00_783.wav
easy_medium_medium_C_00468,easy_medium_medium_C,easy,medium,medium,C,C,16,16,inference_wav/easy_medium_medium_C_16_20250828-233433_4.28_1711.wav,ground_wav/easy_medium_medium_C_16_20250902-112747_0.00_341.wav
easy_medium_medium_C_00470,easy_medium_medium_C,easy,medium,medium,C,C,12,8,inference_wav/easy_medium_medium_C_12_20250829-000357_3.36_3844.wav,ground_wav/easy_medium_medium_C_8_20250902-112755_0.00_1351.wav
easy_medium_medium_C_00472,easy_medium_medium_C,easy,medium,medium,C,C,24,24,inference_wav/easy_medium_medium_C_24_20250829-003046_5.68_5755.wav,ground_wav/easy_medium_medium_C_24_20250902-112753_0.00_1096.wav
easy_medium_medium_Dmin_00478,easy_medium_medium_Dmin,easy,medium,medium,Dmin,Dmin,16,16,inference_wav/easy_medium_medium_Dmin_16_20250828-233017_4.35_1390.wav,ground_wav/easy_medium_medium_Dmin_16_20250902-112800_0.00_2019.wav
easy_medium_medium_Dmin_00482,easy_medium_medium_Dmin,easy,medium,medium,Dmin,Dmin,32,32,inference_wav/easy_medium_medium_Dmin_32_20250828-231215_8.00_98.wav,ground_wav/easy_medium_medium_Dmin_32_20250902-112753_0.00_1167.wav
easy_medium_medium_F_00495,easy_medium_medium_F,easy,medium,medium,F,F,20,17,inference_wav/easy_medium_medium_F_20_20250829-001934_5.06_4970.wav,ground_wav/easy_medium_medium_F_17_20250902-112748_0.00_421.wav
easy_medium_medium_F_00496,easy_medium_medium_F,easy,medium,medium,F,F,16,16,inference_wav/easy_medium_medium_F_16_20250828-234250_4.07_2326.wav,ground_wav/easy_medium_medium_F_16_20250902-112757_0.00_1598.wav
easy_medium_medium_F_00497,easy_medium_medium_F,easy,medium,medium,F,F,8,8,inference_wav/easy_medium_medium_F_8_20250828-231421_2.46_248.wav,ground_wav/easy_medium_medium_F_8_20250902-112800_0.00_2068.wav
easy_medium_medium_F_00498,easy_medium_medium_F,easy,medium,medium,F,F,16,16,inference_wav/easy_medium_medium_F_16_20250828-232528_4.04_1037.wav,ground_wav/easy_medium_medium_F_16_20250902-112757_0.00_1562.wav
easy_medium_medium_F_00499,easy_medium_medium_F,easy,medium,medium,F,F,8,8,inference_wav/easy_medium_medium_F_8_20250828-231921_2.24_603.wav,ground_wav/easy_medium_medium_F_8_20250902-112803_0.00_2401.wav
easy_medium_medium_G_00503,easy_medium_medium_G,easy,medium,medium,G,G,24,21,inference_wav/easy_medium_medium_G_24_20250828-233429_6.04_1705.wav,ground_wav/easy_medium_medium_G_21_20250902-112756_0.00_1465.wav
easy_medium_medium_G_00505,easy_medium_medium_G,easy,medium,medium,G,G,16,16,inference_wav/easy_medium_medium_G_16_20250829-003040_4.04_5747.wav,ground_wav/easy_medium_medium_G_16_20250902-112804_0.00_2532.wav
easy_medium_medium_G_00509,easy_medium_medium_G,easy,medium,medium,G,G,12,10,inference_wav/easy_medium_medium_G_12_20250829-001105_3.03_4351.wav,ground_wav/easy_medium_medium_G_10_20250902-112756_0.00_1494.wav
hard_easy_easy_C_00520,hard_easy_easy_C,hard,easy,easy,C,C,12,8,inference_wav/hard_easy_easy_C_12_20250829-041217_3.45_21013.wav,ground_wav/hard_easy_easy_C_8_20250902-112756_0.00_1547.wav
hard_easy_easy_C_00521,hard_easy_easy_C,hard,easy,easy,C,C,12,8,inference_wav/hard_easy_easy_C_12_20250829-045305_2.90_23910.wav,ground_wav/hard_easy_easy_C_8_20250902-112750_0.00_733.wav
hard_easy_easy_Dmin_00525,hard_easy_easy_Dmin,hard,easy,easy,Dmin,Dmin,28,32,inference_wav/hard_easy_easy_Dmin_28_20250829-034540_7.48_19126.wav,ground_wav/hard_easy_easy_Dmin_32_20250902-112803_0.00_2474.wav
